codigo_ine,ods_objetivo,promedio_metas,n_metas
43060,5,83.92472889333334,3
43060,6,25.97790764,1
43060,7,36.767194860000004,2
43060,8,62.298412530833325,4
43060,9,68.98472998,3
43061,1,50.0,2
43061,10,50.0,2
43061,11,96.3644147575,4
43061,12,41.275,2
43061,13,26.18813253,1
43061,15,59.556223323569995,2
43061,16,50.0,2
43061,17,50.0,2
43061,2,50.0,2
43061,3,100.0,1
43061,5,63.46209017,3
43061,6,100.0,1
43061,7,65.303543305,2
43061,8,72.37108742974999,4
43061,9,29.72025641,3
43062,1,69.82006068333332,3
43062,10,35.6857652315,2
43062,11,70.7026140725,4
43062,12,84.96485493750001,2
43062,13,72.1044572,1
43062,15,56.86920303,2
43062,16,50.0,2
43062,17,25.081213225,2
43062,2,49.51949274125,2
43062,3,100.0,1
43062,4,100.0,1
43062,5,62.51211328833333,3
43062,6,100.0,1
43062,7,76.5570476,2
43062,8,40.233930715,4
43062,9,8.87574359,3
43063,1,43.56472947375,4
43063,10,37.50576072872222,3
43063,11,60.8574219608,5
43063,12,71.85561693,2
43063,15,50.4666841665,2
43063,16,50.0,2
43063,17,35.1347759375,2
43063,2,28.795222668333334,3
43063,3,76.7733778625,4
43063,4,100.0,1
43063,5,91.76026632499999,3
43063,6,91.60020345,1
43063,7,39.287256445,2
43063,8,53.177558821666665,4
43063,9,58.38779487333333,3
43064,1,45.370912607579996,5
